N/100,pN,Z/100,pZ,przewidywane_BE/A(MeV)
0.02,1,1.16,1,-3.46896
0.02,1,1.17,0,-3.63957
0.02,1,1.18,1,-3.49231
0.02,1,1.19,0,-3.66224
0.02,1,1.2,1,-3.51428
0.02,1,1.21,0,-3.68296
0.02,1,1.22,1,-3.53498
0.02,1,1.23,0,-3.70192
0.02,1,1.24,1,-3.55448
0.02,1,1.25,0,-3.7193
0.02,1,1.26,1,-3.57287
0.02,1,1.27,0,-3.73525
0.02,1,1.28,1,-3.59021
0.02,1,1.29,0,-3.74988
0.02,1,1.3,1,-3.60658
0.02,1,1.31,0,-3.76334
0.02,1,1.32,1,-3.62203
0.02,1,1.33,0,-3.77573
0.02,1,1.34,1,-3.63662
0.02,1,1.35,0,-3.78714
0.02,1,1.36,1,-3.65042
0.02,1,1.37,0,-3.79765
0.02,1,1.38,1,-3.66345
0.02,1,1.39,0,-3.80735
0.02,1,1.4,1,-3.67578
0.02,1,1.41,0,-3.81631
0.02,1,1.42,1,-3.68745
0.02,1,1.43,0,-3.82459
0.02,1,1.44,1,-3.69849
0.02,1,1.45,0,-3.83224
0.02,1,1.46,1,-3.70896
0.02,1,1.47,0,-3.83932
0.02,1,1.48,1,-3.71887
0.02,1,1.49,0,-3.84587
0.02,1,1.5,1,-3.72827
0.03,0,0.01,0,1.72519
0.03,0,0.02,1,5.51121
0.03,0,0.03,0,5.33204
0.03,0,0.04,1,5.37386
0.03,0,0.05,0,4.71814
0.03,0,0.06,1,4.33169
0.03,0,0.07,0,3.64749
0.03,0,0.08,1,3.63565
0.03,0,0.09,0,3.15522
0.03,0,0.1,1,3.3024
0.03,0,0.11,0,2.92151
0.03,0,0.12,1,3.22875
0.03,0,0.13,0,2.79829
0.03,0,0.14,1,3.27587
0.03,0,0.15,0,2.77285
0.03,0,0.16,1,3.34789
0.03,0,0.17,0,2.80112
0.03,0,0.18,1,3.40267
0.03,0,0.19,0,2.84323
0.03,0,0.2,1,3.42919
0.03,0,0.21,0,2.87768
0.03,0,0.22,1,3.42893
0.03,0,0.23,0,2.89664
0.03,0,0.24,1,3.40659
0.03,0,0.25,0,2.89904
0.03,0,0.26,1,3.3665
0.03,0,0.27,0,2.88618
0.03,0,0.28,1,3.31148
0.03,0,0.29,0,2.85977
0.03,0,0.3,1,3.24285
0.03,0,0.31,0,2.82116
0.03,0,0.32,1,3.16061
0.03,0,0.33,0,2.77105
0.03,0,0.34,1,3.06379
0.03,0,0.35,0,2.70932
0.03,0,0.36,1,2.95071
0.03,0,0.37,0,2.6346
0.03,0,0.38,1,2.81922
0.03,0,0.39,0,2.54368
0.03,0,0.4,1,2.66685
0.03,0,0.41,0,2.43031
0.03,0,0.42,1,2.49031
0.03,0,0.43,0,2.28355
0.03,0,0.44,1,2.28389
0.03,0,0.45,0,2.08666
0.03,0,0.46,1,2.03714
0.03,0,0.47,0,1.81998
0.03,0,0.48,1,1.73685
0.03,0,0.49,0,1.47435
0.03,0,0.5,1,1.38066
0.03,0,0.51,0,1.07238
0.03,0,0.52,1,0.99342
0.03,0,0.53,0,0.6685
0.03,0,0.54,1,0.61599
0.03,0,0.55,0,0.31166
0.03,0,0.56,1,0.27421
0.03,0,0.57,0,0.01659
0.03,0,0.58,1,-0.0299
0.03,0,0.59,0,-0.22777
0.03,0,0.6,1,-0.30517
0.03,0,0.61,0,-0.439
0.03,0,0.62,1,-0.55993
0.03,0,0.63,0,-0.63139
0.03,0,0.64,1,-0.79877
0.03,0,0.65,0,-0.8142
0.03,0,0.66,1,-1.0234
0.03,0,0.67,0,-0.99279
0.03,0,0.68,1,-1.23404
0.03,0,0.69,0,-1.16988
0.03,0,0.7,1,-1.43063
0.03,0,0.71,0,-1.34645
0.03,0,0.72,1,-1.61321
0.03,0,0.73,0,-1.52231
0.03,0,0.74,1,-1.78216
0.03,0,0.75,0,-1.69641
0.03,0,0.76,1,-1.93809
