N/100,pN,Z/100,pZ,przewidywane_BE/A(MeV)
1.15,0,1.46,1,6.70014
1.15,0,1.47,0,6.71272
1.15,0,1.48,1,6.77935
1.15,0,1.49,0,6.73691
1.15,0,1.5,1,6.71042
1.16,1,0.01,0,4.67963
1.16,1,0.02,1,4.46987
1.16,1,0.03,0,5.00105
1.16,1,0.04,1,4.85092
1.16,1,0.05,0,5.19582
1.16,1,0.06,1,5.06694
1.16,1,0.07,0,5.33061
1.16,1,0.08,1,5.20677
1.16,1,0.09,0,5.43032
1.16,1,0.1,1,5.30871
1.16,1,0.11,0,5.50767
1.16,1,0.12,1,5.38917
1.16,1,0.13,0,5.57015
1.16,1,0.14,1,5.45594
1.16,1,0.15,0,5.62223
1.16,1,0.16,1,5.51301
1.16,1,0.17,0,5.66659
1.16,1,0.18,1,5.56255
1.16,1,0.19,0,5.70484
1.16,1,0.2,1,5.60582
1.16,1,0.21,0,5.73787
1.16,1,0.22,1,5.64341
1.16,1,0.23,0,5.766
1.16,1,0.24,1,5.6753
1.16,1,0.25,0,5.78885
1.16,1,0.26,1,5.70071
1.16,1,0.27,0,5.80517
1.16,1,0.28,1,5.71771
1.16,1,0.29,0,5.81247
1.16,1,0.3,1,5.72296
1.16,1,0.31,0,5.8068
1.16,1,0.32,1,5.71189
1.16,1,0.33,0,5.78346
1.16,1,0.34,1,5.68064
1.16,1,0.35,0,5.73984
1.16,1,0.36,1,5.63029
1.16,1,0.37,0,5.67984
1.16,1,0.38,1,5.5698
1.16,1,0.39,0,5.6147
1.16,1,0.4,1,5.51248
1.16,1,0.41,0,5.55741
1.16,1,0.42,1,5.46971
1.16,1,0.43,0,5.51763
1.16,1,0.44,1,5.44867
1.16,1,0.45,0,5.50105
1.16,1,0.46,1,5.45341
1.16,1,0.47,0,5.51137
1.16,1,0.48,1,5.48825
1.16,1,0.49,0,5.55417
1.16,1,0.5,1,5.56213
1.16,1,0.51,0,5.64098
1.16,1,0.52,1,5.69193
1.16,1,0.53,0,5.79166
1.16,1,0.54,1,5.90247
1.16,1,0.55,0,6.03227
1.16,1,0.56,1,6.21763
1.16,1,0.57,0,6.38008
1.16,1,0.58,1,6.62974
1.16,1,0.59,0,6.80367
1.16,1,0.6,1,7.0546
1.16,1,0.61,0,7.1948
1.16,1,0.62,1,7.38077
1.16,1,0.63,0,7.47199
1.16,1,0.64,1,7.5956
1.16,1,0.65,0,7.65473
1.16,1,0.66,1,7.73795
1.16,1,0.67,0,7.77666
1.16,1,0.68,1,7.83284
1.16,1,0.69,0,7.85661
1.16,1,0.7,1,7.8948
1.16,1,0.71,0,7.90697
1.16,1,0.72,1,7.93248
1.16,1,0.73,0,7.93515
1.16,1,0.74,1,7.95047
1.16,1,0.75,0,7.94504
1.16,1,0.76,1,7.95121
1.16,1,0.77,0,7.9388
1.16,1,0.78,1,7.93659
1.16,1,0.79,0,7.9182
1.16,1,0.8,1,7.90853
1.16,1,0.81,0,7.88505
1.16,1,0.82,1,7.86916
1.16,1,0.83,0,7.84142
1.16,1,0.84,1,7.82083
1.16,1,0.85,0,7.78949
1.16,1,0.86,1,7.76585
1.16,1,0.87,0,7.73142
1.16,1,0.88,1,7.7063
1.16,1,0.89,0,7.6691
1.16,1,0.9,1,7.64386
1.16,1,0.91,0,7.60407
1.16,1,0.92,1,7.5798
1.16,1,0.93,0,7.53748
1.16,1,0.94,1,7.51499
1.16,1,0.95,0,7.47014
1.16,1,0.96,1,7.44999
1.16,1,0.97,0,7.40258
1.16,1,0.98,1,7.38515
1.16,1,0.99,0,7.33515
1.16,1,1,1,7.32067
1.16,1,1.01,0,7.26807
1.16,1,1.02,1,7.25662
1.16,1,1.03,0,7.20148
1.16,1,1.04,1,7.19306
1.16,1,1.05,0,7.13547
1.16,1,1.06,1,7.13
1.16,1,1.07,0,7.07011
1.16,1,1.08,1,7.06743
1.16,1,1.09,0,7.00547
1.16,1,1.1,1,7.00538
1.16,1,1.11,0,6.94161
1.16,1,1.12,1,6.94386
1.16,1,1.13,0,6.87861
1.16,1,1.14,1,6.88292
1.16,1,1.15,0,6.81657
1.16,1,1.16,1,6.82263
1.16,1,1.17,0,6.7556
1.16,1,1.18,1,6.7631
1.16,1,1.19,0,6.69582
1.16,1,1.2,1,6.70443
1.16,1,1.21,0,6.63737
1.16,1,1.22,1,6.64677
1.16,1,1.23,0,6.5804
1.16,1,1.24,1,6.5903
1.16,1,1.25,0,6.52508
1.16,1,1.26,1,6.53525
1.16,1,1.27,0,6.47163
1.16,1,1.28,1,6.48188
1.16,1,1.29,0,6.42033
1.16,1,1.3,1,6.43064
1.16,1,1.31,0,6.37164
1.16,1,1.32,1,6.38221
1.16,1,1.33,0,6.32639
1.16,1,1.34,1,6.33788
1.16,1,1.35,0,6.28615
1.16,1,1.36,1,6.30011
1.16,1,1.37,0,6.25405
1.16,1,1.38,1,6.27375
1.16,1,1.39,0,6.23633
1.16,1,1.4,1,6.26859
1.16,1,1.41,0,6.24541
1.16,1,1.42,1,6.30352
1.16,1,1.43,0,6.30406
1.16,1,1.44,1,6.40837
1.16,1,1.45,0,6.44103
1.16,1,1.46,1,6.59332
1.16,1,1.47,0,6.63675
1.16,1,1.48,1,6.75569
1.16,1,1.49,0,6.75095
1.16,1,1.5,1,6.76196
1.17,0,0.01,0,4.84561
1.17,0,0.02,1,4.60691
1.17,0,0.03,0,5.17716
1.17,0,0.04,1,4.99139
1.17,0,0.05,0,5.39854
1.17,0,0.06,1,5.23693
1.17,0,0.07,0,5.55931
1.17,0,0.08,1,5.41203
1.17,0,0.09,0,5.68293
1.17,0,0.1,1,5.54796
1.17,0,0.11,0,5.78244
1.17,0,0.12,1,5.65939
1.17,0,0.13,0,5.86538
1.17,0,0.14,1,5.75378
1.17,0,0.15,0,5.9362
1.17,0,0.16,1,5.83527
1.17,0,0.17,0,5.99759
1.17,0,0.18,1,5.9063
1.17,0,0.19,0,6.05117
1.17,0,0.2,1,5.96834
1.17,0,0.21,0,6.09785
1.17,0,0.22,1,6.02216
1.17,0,0.23,0,6.13787
1.17,0,0.24,1,6.06779
1.17,0,0.25,0,6.17077
1.17,0,0.26,1,6.1044
1.17,0,0.27,0,6.19513
1.17,0,0.28,1,6.12994
1.17,0,0.29,0,6.20826
1.17,0,0.3,1,6.14093
1.17,0,0.31,0,6.20605
1.17,0,0.32,1,6.13299
1.17,0,0.33,0,6.18411
1.17,0,0.34,1,6.1032
1.17,0,0.35,0,6.14092
1.17,0,0.36,1,6.0544
1.17,0,0.37,0,6.08198
1.17,0,0.38,1,5.99684
1.17,0,0.39,0,6.01921
1.17,0,0.4,1,5.94341
1.17,0,0.41,0,5.96485
1.17,0,0.42,1,5.90381
1.17,0,0.43,0,5.92684
1.17,0,0.44,1,5.88279
1.17,0,0.45,0,5.90843
1.17,0,0.46,1,5.88169
1.17,0,0.47,0,5.91061
1.17,0,0.48,1,5.90197
1.17,0,0.49,0,5.93581
1.17,0,0.5,1,5.94883
1.17,0,0.51,0,5.99129
1.17,0,0.52,1,6.03359
1.17,0,0.53,0,6.09098
1.17,0,0.54,1,6.1744
1.17,0,0.55,0,6.25518
1.17,0,0.56,1,6.39223
1.17,0,0.57,0,6.50346
1.17,0,0.58,1,6.69419
1.17,0,0.59,0,6.8302
1.17,0,0.6,1,7.03736
1.17,0,0.61,0,7.16773
1.17,0,0.62,1,7.33076
1.17,0,0.63,0,7.42962
1.17,0,0.64,1,7.53851
1.17,0,0.65,0,7.61105
1.17,0,0.66,1,7.6864
1.17,0,0.67,0,7.7391
1.17,0,0.68,1,7.79032
1.17,0,0.69,0,7.82531
1.17,0,0.7,1,7.85915
1.17,0,0.71,0,7.87975
1.17,0,0.72,1,7.90232
1.17,0,0.73,0,7.91152
1.17,0,0.74,1,7.92598
1.17,0,0.75,0,7.92568
1.17,0,0.76,1,7.93288
1.17,0,0.77,0,7.92434
1.17,0,0.78,1,7.92427
1.17,0,0.79,0,7.90853
1.17,0,0.8,1,7.90126
1.17,0,0.81,0,7.87934
1.17,0,0.82,1,7.86537
1.17,0,0.83,0,7.83826
1.17,0,0.84,1,7.81868
1.17,0,0.85,0,7.7873
1.17,0,0.86,1,7.76364
1.17,0,0.87,0,7.72876
1.17,0,0.88,1,7.70272
1.17,0,0.89,0,7.66488
1.17,0,0.9,1,7.63812
1.17,0,0.91,0,7.59762
1.17,0,0.92,1,7.57156
1.17,0,0.93,0,7.52853
1.17,0,0.94,1,7.50431
1.17,0,0.95,0,7.45873
1.17,0,0.96,1,7.43721
1.17,0,0.97,0,7.38898
1.17,0,0.98,1,7.37077
1.17,0,0.99,0,7.31978
1.17,0,1,1,7.3053
1.17,0,1.01,0,7.25142
1.17,0,1.02,1,7.24093
1.17,0,1.03,0,7.18407
1.17,0,1.04,1,7.17771
1.17,0,1.05,0,7.1178
1.17,0,1.06,1,7.11559
1.17,0,1.07,0,7.05263
1.17,0,1.08,1,7.05453
1.17,0,1.09,0,6.98854
1.17,0,1.1,1,6.99443
1.17,0,1.11,0,6.92551
1.17,0,1.12,1,6.9352
1.17,0,1.13,0,6.8635
1.17,0,1.14,1,6.87677
1.17,0,1.15,0,6.80249
1.17,0,1.16,1,6.81906
1.17,0,1.17,0,6.74246
1.17,0,1.18,1,6.76202
1.17,0,1.19,0,6.68341
1.17,0,1.2,1,6.70564
1.17,0,1.21,0,6.62539
1.17,0,1.22,1,6.64992
1.17,0,1.23,0,6.56844
1.17,0,1.24,1,6.59492
1.17,0,1.25,0,6.51266
1.17,0,1.26,1,6.54072
1.17,0,1.27,0,6.45819
1.17,0,1.28,1,6.48752
1.17,0,1.29,0,6.40524
1.17,0,1.3,1,6.43557
1.17,0,1.31,0,6.35413
1.17,0,1.32,1,6.38535
1.17,0,1.33,0,6.30545
1.17,0,1.34,1,6.33771
1.17,0,1.35,0,6.26021
1.17,0,1.36,1,6.29423
1.17,0,1.37,0,6.22043
1.17,0,1.38,1,6.25798
1.17,0,1.39,0,6.19006
1.17,0,1.4,1,6.23517
1.17,0,1.41,0,6.1771
1.17,0,1.42,1,6.23823
1.17,0,1.43,0,6.19744
1.17,0,1.44,1,6.29109
1.17,0,1.45,0,6.27969
1.17,0,1.46,1,6.42766
1.17,0,1.47,0,6.45319
1.17,0,1.48,1,6.63696
1.17,0,1.49,0,6.66393
1.17,0,1.5,1,6.76969
1.18,1,0.01,0,4.71715
1.18,1,0.02,1,4.5182
1.18,1,0.03,0,5.02146
1.18,1,0.04,1,4.87987
1.18,1,0.05,0,5.20934
1.18,1,0.06,1,5.08699
1.18,1,0.07,0,5.34088
1.18,1,0.08,1,5.22306
1.18,1,0.09,0,5.43879
1.18,1,0.1,1,5.32315
1.18,1,0.11,0,5.51508
1.18,1,0.12,1,5.40254
1.18,1,0.13,0,5.57692
1.18,1,0.14,1,5.4686
1.18,1,0.15,0,5.62861
1.18,1,0.16,1,5.52514
1.18,1,0.17,0,5.67274
1.18,1,0.18,1,5.57427
1.18,1,0.19,0,5.71088
1.18,1,0.2,1,5.61721
1.18,1,0.21,0,5.74386
1.18,1,0.22,1,5.65449
1.18,1,0.23,0,5.77193
1.18,1,0.24,1,5.68603
1.18,1,0.25,0,5.79463
1.18,1,0.26,1,5.71092
1.18,1,0.27,0,5.81058
1.18,1,0.28,1,5.72708
1.18,1,0.29,0,5.8171
1.18,1,0.3,1,5.73098
1.18,1,0.31,0,5.81006
1.18,1,0.32,1,5.71792
1.18,1,0.33,0,5.78474
1.18,1,0.34,1,5.68431
1.18,1,0.35,0,5.73895
1.18,1,0.36,1,5.63195
1.18,1,0.37,0,5.67739
1.18,1,0.38,1,5.57047
1.18,1,0.39,0,5.61172
1.18,1,0.4,1,5.51296
1.18,1,0.41,0,5.55439
1.18,1,0.42,1,5.46983
1.18,1,0.43,0,5.51394
1.18,1,0.44,1,5.44684
1.18,1,0.45,0,5.49456
1.18,1,0.46,1,5.44627
1.18,1,0.47,0,5.49804
1.18,1,0.48,1,5.47019
1.18,1,0.49,0,5.5275
1.18,1,0.5,1,5.52447
1.18,1,0.51,0,5.591
1.18,1,0.52,1,5.62184
1.18,1,0.53,0,5.70426
1.18,1,0.54,1,5.78342
1.18,1,0.55,0,5.89096
1.18,1,0.56,1,6.03563
1.18,1,0.57,0,6.17617
1.18,1,0.58,1,6.3931
1.18,1,0.59,0,6.56101
1.18,1,0.6,1,6.81708
1.18,1,0.61,0,6.97724
1.18,1,0.62,1,7.19739
1.18,1,0.63,0,7.31253
1.18,1,0.64,1,7.46382
1.18,1,0.65,0,7.53854
1.18,1,0.66,1,7.64046
1.18,1,0.67,0,7.69018
1.18,1,0.68,1,7.75955
1.18,1,0.69,0,7.7917
1.18,1,0.7,1,7.8389
1.18,1,0.71,0,7.85767
1.18,1,0.72,1,7.88969
1.18,1,0.73,0,7.89783
1.18,1,0.74,1,7.91838
1.18,1,0.75,0,7.91763
1.18,1,0.76,1,7.92839
1.18,1,0.77,0,7.92001
1.18,1,0.78,1,7.92189
1.18,1,0.79,0,7.90697
1.18,1,0.8,1,7.90088
1.18,1,0.81,0,7.88039
1.18,1,0.82,1,7.86752
1.18,1,0.83,0,7.84235
1.18,1,0.84,1,7.82416
1.18,1,0.85,0,7.79504
1.18,1,0.86,1,7.77318
1.18,1,0.87,0,7.74072
1.18,1,0.88,1,7.71681
1.18,1,0.89,0,7.68141
1.18,1,0.9,1,7.65692
1.18,1,0.91,0,7.61881
1.18,1,0.92,1,7.59495
1.18,1,0.93,0,7.55424
1.18,1,0.94,1,7.53194
1.18,1,0.95,0,7.48865
1.18,1,0.96,1,7.46857
1.18,1,0.97,0,7.42267
1.18,1,0.98,1,7.40526
1.18,1,0.99,0,7.35671
1.18,1,1,1,7.34227
1.18,1,1.01,0,7.29103
1.18,1,1.02,1,7.27971
1.18,1,1.03,0,7.22579
1.18,1,1.04,1,7.21762
1.18,1,1.05,0,7.16108
1.18,1,1.06,1,7.15603
1.18,1,1.07,0,7.09696
1.18,1,1.08,1,7.0949
1.18,1,1.09,0,7.03348
1.18,1,1.1,1,7.03425
1.18,1,1.11,0,6.97069
1.18,1,1.12,1,6.97405
1.18,1,1.13,0,6.90863
1.18,1,1.14,1,6.91433
1.18,1,1.15,0,6.84739
1.18,1,1.16,1,6.85513
1.18,1,1.17,0,6.78703
1.18,1,1.18,1,6.7965
1.18,1,1.19,0,6.72768
1.18,1,1.2,1,6.73854
1.18,1,1.21,0,6.66943
1.18,1,1.22,1,6.68136
1.18,1,1.23,0,6.61243
1.18,1,1.24,1,6.62509
1.18,1,1.25,0,6.55682
1.18,1,1.26,1,6.56992
1.18,1,1.27,0,6.50277
1.18,1,1.28,1,6.51604
1.18,1,1.29,0,6.45046
1.18,1,1.3,1,6.46371
1.18,1,1.31,0,6.40017
1.18,1,1.32,1,6.41332
1.18,1,1.33,0,6.35228
1.18,1,1.34,1,6.36546
1.18,1,1.35,0,6.30751
1.18,1,1.36,1,6.32122
1.18,1,1.37,0,6.26715
1.18,1,1.38,1,6.28263
1.18,1,1.39,0,6.23379
1.18,1,1.4,1,6.25375
1.18,1,1.41,0,6.21264
1.18,1,1.42,1,6.24268
1.18,1,1.43,0,6.21404
1.18,1,1.44,1,6.26544
1.18,1,1.45,0,6.25781
1.18,1,1.46,1,6.34995
1.18,1,1.47,0,6.37396
1.18,1,1.48,1,6.52044
1.18,1,1.49,0,6.56798
1.18,1,1.5,1,6.71325
1.19,0,0.01,0,4.87841
1.19,0,0.02,1,4.65268
1.19,0,0.03,0,5.19668
1.19,0,0.04,1,5.02053
1.19,0,0.05,0,5.41184
1.19,0,0.06,1,5.25805
1.19,0,0.07,0,5.56924
1.19,0,0.08,1,5.42906
1.19,0,0.09,0,5.69084
1.19,0,0.1,1,5.56253
1.19,0,0.11,0,5.78906
1.19,0,0.12,1,5.67228
1.19,0,0.13,0,5.87114
1.19,0,0.14,1,5.76542
1.19,0,0.15,0,5.94137
1.19,0,0.16,1,5.84592
1.19,0,0.17,0,6.00236
1.19,0,0.18,1,5.91616
1.19,0,0.19,0,6.05568
1.19,0,0.2,1,5.97754
1.19,0,0.21,0,6.10215
1.19,0,0.22,1,6.03075
1.19,0,0.23,0,6.14196
1.19,0,0.24,1,6.07576
1.19,0,0.25,0,6.17456
1.19,0,0.26,1,6.11159
1.19,0,0.27,0,6.19837
1.19,0,0.28,1,6.13603
1.19,0,0.29,0,6.21051
1.19,0,0.3,1,6.14542
1.19,0,0.31,0,6.20674
1.19,0,0.32,1,6.13534
1.19,0,0.33,0,6.18272
1.19,0,0.34,1,6.10325
1.19,0,0.35,0,6.13749
1.19,0,0.36,1,6.05281
1.19,0,0.37,0,6.0774
1.19,0,0.38,1,5.99481
1.19,0,0.39,0,6.01466
1.19,0,0.4,1,5.94184
1.19,0,0.41,0,5.96095
1.19,0,0.42,1,5.90265
1.19,0,0.43,0,5.9232
1.19,0,0.44,1,5.88084
1.19,0,0.45,0,5.90342
1.19,0,0.46,1,5.87644
1.19,0,0.47,0,5.90124
1.19,0,0.48,1,5.88941
1.19,0,0.49,0,5.91743
1.19,0,0.5,1,5.92284
1.19,0,0.51,0,5.95679
1.19,0,0.52,1,5.9851
1.19,0,0.53,0,6.03009
1.19,0,0.54,1,6.09117
1.19,0,0.55,0,6.15482
1.19,0,0.56,1,6.26162
1.19,0,0.57,0,6.35264
1.19,0,0.58,1,6.51427
1.19,0,0.59,0,6.6359
1.19,0,0.6,1,6.83813
1.19,0,0.61,0,6.9736
1.19,0,0.62,1,7.16216
1.19,0,0.63,0,7.2773
1.19,0,0.64,1,7.41025
1.19,0,0.65,0,7.49526
1.19,0,0.66,1,7.58556
1.19,0,0.67,0,7.64908
1.19,0,0.68,1,7.71248
1.19,0,0.69,0,7.75732
1.19,0,0.7,1,7.80006
1.19,0,0.71,0,7.82853
1.19,0,0.72,1,7.85701
1.19,0,0.73,0,7.87245
1.19,0,0.74,1,7.89131
1.19,0,0.75,0,7.89623
1.19,0,0.76,1,7.90732
1.19,0,0.77,0,7.90326
1.19,0,0.78,1,7.90694
1.19,0,0.79,0,7.89506
1.19,0,0.8,1,7.89139
1.19,0,0.81,0,7.87274
1.19,0,0.82,1,7.8621
1.19,0,0.83,0,7.83773
1.19,0,0.84,1,7.82102
1.19,0,0.85,0,7.79189
1.19,0,0.86,1,7.77052
1.19,0,0.87,0,7.73749
1.19,0,0.88,1,7.71313
1.19,0,0.89,0,7.67685
1.19,0,0.9,1,7.65119
1.19,0,0.91,0,7.6121
1.19,0,0.92,1,7.58665
1.19,0,0.93,0,7.54497
1.19,0,0.94,1,7.52099
1.19,0,0.95,0,7.47676
1.19,0,0.96,1,7.45522
1.19,0,0.97,0,7.40839
1.19,0,0.98,1,7.38999
1.19,0,0.99,0,7.34046
1.19,0,1,1,7.32568
1.19,0,1.01,0,7.27333
1.19,0,1.02,1,7.26248
1.19,0,1.03,0,7.2072
1.19,0,1.04,1,7.20047
1.19,0,1.05,0,7.14217
1.19,0,1.06,1,7.13963
1.19,0,1.07,0,7.07828
1.19,0,1.08,1,7.07989
1.19,0,1.09,0,7.01549
1.19,0,1.1,1,7.02118
1.19,0,1.11,0,6.95376
1.19,0,1.12,1,6.96337
1.19,0,1.13,0,6.89305
1.19,0,1.14,1,6.90638
1.19,0,1.15,0,6.8333
1.19,0,1.16,1,6.85011
1.19,0,1.17,0,6.77446
1.19,0,1.18,1,6.79446
1.19,0,1.19,0,6.71652
1.19,0,1.2,1,6.7394
1.19,0,1.21,0,6.65947
1.19,0,1.22,1,6.68489
1.19,0,1.23,0,6.60332
1.19,0,1.24,1,6.63093
1.19,0,1.25,0,6.54814
1.19,0,1.26,1,6.57757
1.19,0,1.27,0,6.49401
1.19,0,1.28,1,6.5249
1.19,0,1.29,0,6.44106
1.19,0,1.3,1,6.47306
1.19,0,1.31,0,6.38946
1.19,0,1.32,1,6.42231
1.19,0,1.33,0,6.33953
1.19,0,1.34,1,6.37306
1.19,0,1.35,0,6.29173
1.19,0,1.36,1,6.32602
1.19,0,1.37,0,6.24695
1.19,0,1.38,1,6.28251
1.19,0,1.39,0,6.20684
1.19,0,1.4,1,6.24509
1.19,0,1.41,0,6.17468
1.19,0,1.42,1,6.21885
1.19,0,1.43,0,6.15703
1.19,0,1.44,1,6.21408
1.19,0,1.45,0,6.16709
1.19,0,1.46,1,6.25104
1.19,0,1.47,0,6.22986
1.19,0,1.48,1,6.36312
1.19,0,1.49,0,6.3795
1.19,0,1.5,1,6.56455
1.2,1,0.01,0,4.75231
1.2,1,0.02,1,4.56423
1.2,1,0.03,0,5.04094
1.2,1,0.04,1,4.90744
1.2,1,0.05,0,5.22249
1.2,1,0.06,1,5.10637
1.2,1,0.07,0,5.35096
1.2,1,0.08,1,5.23892
1.2,1,0.09,0,5.44714
1.2,1,0.1,1,5.33726
1.2,1,0.11,0,5.52239
1.2,1,0.12,1,5.4156
1.2,1,0.13,0,5.58359
1.2,1,0.14,1,5.48095
1.2,1,0.15,0,5.6349
1.2,1,0.16,1,5.53697
1.2,1,0.17,0,5.6788
1.2,1,0.18,1,5.58571
1.2,1,0.19,0,5.71682
1.2,1,0.2,1,5.62831
1.2,1,0.21,0,5.74974
1.2,1,0.22,1,5.66528
1.2,1,0.23,0,5.77775
1.2,1,0.24,1,5.69646
1.2,1,0.25,0,5.80028
1.2,1,0.26,1,5.72081
1.2,1,0.27,0,5.81582
1.2,1,0.28,1,5.7361
1.2,1,0.29,0,5.82152
1.2,1,0.3,1,5.73858
1.2,1,0.31,0,5.81305
1.2,1,0.32,1,5.72352
1.2,1,0.33,0,5.78573
1.2,1,0.34,1,5.68761
1.2,1,0.35,0,5.73788
1.2,1,0.36,1,5.63348
1.2,1,0.37,0,5.67506
1.2,1,0.38,1,5.57139
1.2,1,0.39,0,5.60926
1.2,1,0.4,1,5.51419
1.2,1,0.41,0,5.55244
1.2,1,0.42,1,5.47139
1.2,1,0.43,0,5.51214
1.2,1,0.44,1,5.44754
1.2,1,0.45,0,5.49126
1.2,1,0.46,1,5.4435
1.2,1,0.47,0,5.49013
1.2,1,0.48,1,5.45966
1.2,1,0.49,0,5.50996
1.2,1,0.5,1,5.49946
1.2,1,0.51,0,5.55607
1.2,1,0.52,1,5.57213
1.2,1,0.53,0,5.64031
1.2,1,0.54,1,5.69456
1.2,1,0.55,0,5.78251
1.2,1,0.56,1,5.89122
1.2,1,0.57,0,6.00856
1.2,1,0.58,1,6.18629
1.2,1,0.59,0,6.33704
1.2,1,0.6,1,6.57598
1.2,1,0.61,0,6.74222
1.2,1,0.62,1,6.9856
1.2,1,0.63,0,7.12478
1.2,1,0.64,1,7.30856
1.2,1,0.65,0,7.40248
1.2,1,0.66,1,7.52641
1.2,1,0.67,0,7.58901
1.2,1,0.68,1,7.67399
1.2,1,0.69,0,7.71588
1.2,1,0.7,1,7.77403
1.2,1,0.71,0,7.80035
1.2,1,0.72,1,7.84002
1.2,1,0.73,0,7.85422
1.2,1,0.74,1,7.88061
1.2,1,0.75,0,7.88496
1.2,1,0.76,1,7.90063
1.2,1,0.77,0,7.89664
1.2,1,0.78,1,7.90284
1.2,1,0.79,0,7.89168
1.2,1,0.8,1,7.88938
1.2,1,0.81,0,7.87211
1.2,1,0.82,1,7.86247
1.2,1,0.83,0,7.84004
1.2,1,0.84,1,7.82446
1.2,1,0.85,0,7.79772
1.2,1,0.86,1,7.77783
1.2,1,0.87,0,7.74743
1.2,1,0.88,1,7.72491
1.2,1,0.89,0,7.69136
1.2,1,0.9,1,7.66774
1.2,1,0.91,0,7.63136
1.2,1,0.92,1,7.60798
1.2,1,0.93,0,7.56892
1.2,1,0.94,1,7.54681
1.2,1,0.95,0,7.50513
1.2,1,0.96,1,7.48508
1.2,1,0.97,0,7.44075
1.2,1,0.98,1,7.42329
1.2,1,0.99,0,7.37628
1.2,1,1,1,7.36176
1.2,1,1.01,0,7.31201
1.2,1,1.02,1,7.30065
1.2,1,1.03,0,7.24815
1.2,1,1.04,1,7.24003
1.2,1,1.05,0,7.18478
1.2,1,1.06,1,7.1799
1.2,1,1.07,0,7.12196
1.2,1,1.08,1,7.12025
1.2,1,1.09,0,7.05974
1.2,1,1.1,1,7.06105
1.2,1,1.11,0,6.99812
1.2,1,1.12,1,7.00226
1.2,1,1.13,0,6.93716
1.2,1,1.14,1,6.94389
1.2,1,1.15,0,6.87689
1.2,1,1.16,1,6.88594
1.2,1,1.17,0,6.81737
1.2,1,1.18,1,6.82843
1.2,1,1.19,0,6.75867
1.2,1,1.2,1,6.77142
1.2,1,1.21,0,6.7009
1.2,1,1.22,1,6.715
1.2,1,1.23,0,6.64417
1.2,1,1.24,1,6.65927
1.2,1,1.25,0,6.58859
1.2,1,1.26,1,6.60438
1.2,1,1.27,0,6.53432
1.2,1,1.28,1,6.55047
1.2,1,1.29,0,6.4815
1.2,1,1.3,1,6.49774
1.2,1,1.31,0,6.43033
1.2,1,1.32,1,6.44644
1.2,1,1.33,0,6.38103
1.2,1,1.34,1,6.39691
1.2,1,1.35,0,6.33397
1.2,1,1.36,1,6.34966
1.2,1,1.37,0,6.28972
1.2,1,1.38,1,6.30561
1.2,1,1.39,0,6.24938
1.2,1,1.4,1,6.26647
1.2,1,1.41,0,6.21511
1.2,1,1.42,1,6.23559
1.2,1,1.43,0,6.19117
1.2,1,1.44,1,6.21967
1.2,1,1.45,0,6.1862
1.2,1,1.46,1,6.23213
1.2,1,1.47,0,6.21704
1.2,1,1.48,1,6.29784
1.2,1,1.49,0,6.31227
1.2,1,1.5,1,6.44779
1.21,0,0.01,0,4.90948
1.21,0,0.02,1,4.69628
1.21,0,0.03,0,5.21548
1.21,0,0.04,1,5.04848
1.21,0,0.05,0,5.4248
1.21,0,0.06,1,5.2785
1.21,0,0.07,0,5.57897
1.21,0,0.08,1,5.44562
1.21,0,0.09,0,5.69862
1.21,0,0.1,1,5.57673
1.21,0,0.11,0,5.79557
1.21,0,0.12,1,5.68483
1.21,0,0.13,0,5.87679
1.21,0,0.14,1,5.77674
1.21,0,0.15,0,5.94645
1.21,0,0.16,1,5.85629
1.21,0,0.17,0,6.00705
1.21,0,0.18,1,5.92574
1.21,0,0.19,0,6.06009
1.21,0,0.2,1,5.98647
1.21,0,0.21,0,6.10635
1.21,0,0.22,1,6.03908
1.21,0,0.23,0,6.14594
1.21,0,0.24,1,6.08345
1.21,0,0.25,0,6.1782
1.21,0,0.26,1,6.11847
1.21,0,0.27,0,6.20141
1.21,0,0.28,1,6.14177
1.21,0,0.29,0,6.21251
1.21,0,0.3,1,6.14951
1.21,0,0.31,0,6.20712
1.21,0,0.32,1,6.13727
1.21,0,0.33,0,6.181
1.21,0,0.34,1,6.10297
1.21,0,0.35,0,6.13385
1.21,0,0.36,1,6.05111
1.21,0,0.37,0,6.07286
1.21,0,0.38,1,5.99298
1.21,0,0.39,0,6.01049
1.21,0,0.4,1,5.94083
1.21,0,0.41,0,5.95784
1.21,0,0.42,1,5.90255
1.21,0,0.43,0,5.9209
1.21,0,0.44,1,5.88069
1.21,0,0.45,0,5.90064
1.21,0,0.46,1,5.87428
1.21,0,0.47,0,5.89565
1.21,0,0.48,1,5.88213
1.21,0,0.49,0,5.90542
1.21,0,0.5,1,5.9057
1.21,0,0.51,0,5.93284
1.21,0,0.52,1,5.95094
1.21,0,0.53,0,5.98589
1.21,0,0.54,1,6.02958
1.21,0,0.55,0,6.07877
1.21,0,0.56,1,6.1597
1.21,0,0.57,0,6.23173
1.21,0,0.58,1,6.36239
1.21,0,0.59,0,6.46479
1.21,0,0.6,1,6.64664
1.21,0,0.61,0,6.77546
1.21,0,0.62,1,6.97566
1.21,0,0.63,0,7.10313
1.21,0,0.64,1,7.26393
1.21,0,0.65,0,7.36331
1.21,0,0.66,1,7.47179
1.21,0,0.67,0,7.54618
