N/100,pN,Z/100,pZ,BE/A(MeV),przewidywane_BE/A(MeV)
0.28,1,0.3,1,8.39594,8.38088
0.36,1,0.23,0,8.40755,8.45133
0.35,0,0.24,1,8.56809,8.60285
0.34,1,0.25,0,8.68092,8.68687
0.33,0,0.26,1,8.75477,8.73438
0.32,1,0.27,0,8.76803,8.73714
0.31,0,0.28,1,8.73659,8.70148
0.3,1,0.29,0,8.642,8.61159
0.29,0,0.3,1,8.47378,8.44541
0.37,0,0.23,0,8.32545,8.37593
0.36,1,0.24,1,8.53621,8.57998
0.35,0,0.25,0,8.62814,8.6433
0.34,1,0.26,1,8.75585,8.74958
0.33,0,0.27,0,8.74677,8.72606
0.32,1,0.28,1,8.78077,8.75464
0.31,0,0.29,0,8.6656,8.64476
0.3,1,0.3,1,8.58305,8.5681
0.38,1,0.23,0,8.27644,8.32825
0.37,0,0.24,1,8.45982,8.51167
0.36,1,0.25,0,8.59892,8.62523
0.35,0,0.26,1,8.70377,8.70715
0.34,1,0.27,0,8.75615,8.73807
0.33,0,0.28,1,8.76503,8.73734
0.32,1,0.29,0,8.71551,8.69285
0.31,0,0.3,1,8.61031,8.59728
0.3,1,0.31,0,8.44643,8.44035
0.38,1,0.24,1,8.42807,8.47441
0.37,0,0.25,0,8.5385,8.56891
0.36,1,0.26,1,8.69288,8.70739
0.35,0,0.27,0,8.72133,8.71524
0.34,1,0.28,1,8.79455,8.77126
0.33,0,0.29,0,8.71808,8.70188
0.32,1,0.3,1,8.67934,8.67896
0.31,0,0.31,0,8.51864,8.50523
0.39,0,0.24,1,8.34483,8.4046
0.38,1,0.25,0,8.5051,8.53816
0.37,0,0.26,1,8.63155,8.65666
0.36,1,0.27,0,8.7178,8.71563
0.35,0,0.28,1,8.76349,8.74338
0.34,1,0.29,0,8.75214,8.7306
0.33,0,0.3,1,8.68629,8.68279
0.32,1,0.31,0,8.58393,8.58371
0.31,0,0.32,1,8.41872,8.41653
0.4,1,0.24,1,8.30106,8.35546
0.39,0,0.25,0,8.43742,8.47202
0.38,1,0.26,1,8.61239,8.64163
0.37,0,0.27,0,8.67552,8.68203
0.36,1,0.28,1,8.77746,8.76286
0.35,0,0.29,0,8.73907,8.72448
0.34,1,0.3,1,8.7359,8.73767
0.33,0,0.31,0,8.61163,8.61761
0.32,1,0.32,1,8.52882,8.53362
0.4,1,0.25,0,8.40068,8.43113
0.39,0,0.26,1,8.54635,8.58274
0.38,1,0.27,0,8.65688,8.67074
0.37,0,0.28,1,8.73624,8.7275
0.36,1,0.29,0,8.7571,8.74026
0.35,0,0.3,1,8.72427,8.72529
0.34,1,0.31,0,8.66216,8.66784
0.33,0,0.32,1,8.55506,8.5621
0.32,1,0.33,0,8.39623,8.40563
