N/100,pN,Z/100,pZ,BE/A(MeV),przewidywane_BE/A(MeV)
0.44,1,0.46,1,8.113,8.23111
0.58,1,0.33,0,8.193,8.20695
0.46,1,0.45,0,8.328,8.3654
0.45,0,0.46,1,8.181,8.25508
0.59,0,0.33,0,8.127,8.16866
0.58,1,0.34,1,8.29,8.29859
0.46,1,0.46,1,8.273,8.32737
0.45,0,0.47,0,8.075,8.16586
0.59,0,0.34,1,8.223,8.26099
0.47,0,0.46,1,8.319,8.34966
0.46,1,0.47,0,8.173,8.24927
0.6,1,0.34,1,8.18,8.20941
0.59,0,0.35,0,8.284,8.30561
0.47,0,0.47,0,8.238,8.2681
0.46,1,0.48,1,8.099,8.20159
0.61,0,0.34,1,8.112,8.17886
0.6,1,0.35,0,8.244,8.2606
0.48,1,0.47,0,8.312,8.33578
0.47,0,0.48,1,8.167,8.22086
0.61,0,0.35,0,8.184,8.22344
0.48,1,0.48,1,8.259,8.28811
0.47,0,0.49,0,8.067,8.12807
0.62,1,0.35,0,8.14,8.17082
0.49,0,0.48,1,8.307,8.30685
0.48,1,0.49,0,8.163,8.20783
0.63,0,0.35,0,8.08,8.13738
0.62,1,0.36,1,8.236,8.25412
0.49,0,0.49,0,8.23,8.22182
0.63,0,0.36,1,8.178,8.22245
0.5,1,0.49,0,8.304,8.28743
0.49,0,0.5,1,8.16,8.17239
0.64,1,0.36,1,8.14,8.17142
0.65,0,0.36,1,8.081,8.14411
0.64,1,0.37,0,8.209,8.21823
0.52,1,0.49,0,8.371,8.35597
0.65,0,0.37,0,8.157,8.18712
0.66,1,0.37,0,8.117,8.13295
0.65,0,0.38,1,8.243,8.25426
0.52,1,0.51,0,8.229,8.23284
0.66,1,0.38,1,8.21,8.21292
0.65,0,0.39,0,8.298,8.29239
0.67,0,0.38,1,8.156,8.18601
0.68,1,0.38,1,8.119,8.13536
0.67,0,0.39,0,8.218,8.22449
0.69,0,0.38,1,8.064,8.10791
0.68,1,0.39,0,8.182,8.18019
0.54,1,0.53,0,8.146,8.17576
0.69,0,0.39,0,8.134,8.15288
0.68,1,0.4,1,8.257,8.24946
0.7,1,0.39,0,8.096,8.09581
0.69,0,0.4,1,8.208,8.22262
0.7,1,0.4,1,8.177,8.18302
0.71,0,0.4,1,8.128,8.15614
0.7,1,0.41,0,8.223,8.22389
0.56,1,0.55,0,8.069,8.11759
0.72,1,0.4,1,8.094,8.10478
0.71,0,0.41,0,8.18,8.19843
0.7,1,0.42,1,8.291,8.29153
0.72,1,0.41,0,8.146,8.15185
0.71,0,0.42,1,8.245,8.26499
0.57,0,0.56,1,8.036,8.07628
0.73,0,0.41,0,8.1,8.1223
0.72,1,0.42,1,8.22,8.23314
0.61,0,0.53,0,8.346,8.35912
0.74,1,0.41,0,8.065,8.06034
0.73,0,0.42,1,8.175,8.20501
0.6,1,0.55,0,8.216,8.23981
0.59,0,0.56,1,8.117,8.14336
0.74,1,0.42,1,8.146,8.16544
0.73,0,0.43,0,8.225,8.24788
0.61,0,0.55,0,8.235,8.25249
0.6,1,0.56,1,8.164,8.19149
0.59,0,0.57,0,8.037,8.06661
0.75,0,0.42,1,8.1,8.12973
0.74,1,0.43,0,8.197,8.20861
0.6,1,0.57,0,8.087,8.12235
0.76,1,0.42,1,8.069,8.07658
0.75,0,0.43,0,8.157,8.17872
0.74,1,0.44,1,8.265,8.28595
0.62,1,0.56,1,8.228,8.24597
0.61,0,0.57,0,8.113,8.13282
0.76,1,0.43,0,8.128,8.1281
0.75,0,0.44,1,8.224,8.25504
0.62,1,0.57,0,8.157,8.18027
0.61,0,0.58,1,8.059,8.08296
0.77,0,0.43,0,8.087,8.08905
0.76,1,0.44,1,8.201,8.22378
0.75,0,0.45,0,8.268,8.29512
0.63,0,0.57,0,8.179,8.19258
0.62,1,0.58,1,8.107,8.13131
0.78,1,0.43,0,8.056,8.02108
0.77,0,0.44,1,8.159,8.1851
0.64,1,0.57,0,8.217,8.23196
0.63,0,0.58,1,8.132,8.14413
0.62,1,0.59,0,8.032,8.06374
0.78,1,0.44,1,8.135,8.14476
0.77,0,0.45,0,8.21,8.23089
0.65,0,0.57,0,8.235,8.24432
0.64,1,0.58,1,8.174,8.18608
0.63,0,0.59,0,8.06,8.07331
0.79,0,0.44,1,8.093,8.09426
0.78,1,0.45,0,8.186,8.18875
0.66,1,0.57,0,8.267,8.27619
0.65,0,0.58,1,8.193,8.19937
0.64,1,0.59,0,8.104,8.12118
0.8,1,0.44,1,8.068,8.03862
0.79,0,0.45,0,8.149,8.14887
0.78,1,0.46,1,8.252,8.27038
0.66,1,0.58,1,8.229,8.23477
0.65,0,0.59,0,8.128,8.13309
0.64,1,0.6,1,8.052,8.07211
0.8,1,0.45,0,8.126,8.09391
0.79,0,0.46,1,8.216,8.2299
0.67,0,0.58,1,8.242,8.24718
0.66,1,0.59,0,8.166,8.17343
0.65,0,0.6,1,8.077,8.08442
0.81,0,0.45,0,8.088,8.04362
0.8,1,0.46,1,8.197,8.19825
0.79,0,0.47,0,8.261,8.26918
0.67,0,0.59,0,8.184,8.18604
0.66,1,0.6,1,8.119,8.12677
0.65,0,0.61,0,8.005,8.01531
0.82,1,0.45,0,8.062,7.96942
0.81,0,0.46,1,8.159,8.14747
0.8,1,0.47,0,8.242,8.23407
0.68,1,0.59,0,8.216,8.21922
0.67,0,0.6,1,8.139,8.13989
0.66,1,0.61,0,8.048,8.06306
0.82,1,0.46,1,8.138,8.10539
0.81,0,0.47,0,8.211,8.19505
0.68,1,0.6,1,8.176,8.17626
0.67,0,0.61,0,8.072,8.07462
0.66,1,0.62,1,7.994,8.01426
0.83,0,0.46,1,8.084,8.04221
0.82,1,0.47,0,8.189,8.14968
0.69,0,0.6,1,8.19,8.18901
0.68,1,0.61,0,8.111,8.1154
0.67,0,0.62,1,8.021,8.02622
0.83,0,0.47,0,8.14,8.10146
0.69,0,0.61,0,8.13,8.12815
0.68,1,0.62,1,8.064,8.06846
0.67,0,0.63,0,7.951,7.95906
0.84,1,0.47,0,8.099,8.04198
0.7,1,0.61,0,8.162,8.16219
0.69,0,0.62,1,8.084,8.08144
0.68,1,0.63,0,7.995,8.0062
0.85,0,0.47,0,8.049,7.98443
0.84,1,0.48,1,8.168,8.15136
0.71,0,0.61,0,8.177,8.17463
0.7,1,0.62,1,8.121,8.11827
0.69,0,0.63,0,8.018,8.01753
0.85,0,0.48,1,8.119,8.09247
0.84,1,0.49,0,8.215,8.18642
0.71,0,0.62,1,8.137,8.13123
0.7,1,0.63,0,8.056,8.05827
0.69,0,0.64,1,7.964,7.96968
0.86,1,0.48,1,8.082,8.04746
0.85,0,0.49,0,8.171,8.14251
0.72,1,0.62,1,8.167,8.16257
0.71,0,0.63,0,8.076,8.0711
0.7,1,0.64,1,8.006,8.0114
0.86,1,0.49,0,8.132,8.0936
0.72,1,0.63,0,8.107,8.10555
0.71,0,0.64,1,8.029,8.02428
0.7,1,0.65,0,7.938,7.95075
0.87,0,0.49,0,8.087,8.04111
0.86,1,0.5,1,8.195,8.17913
0.73,0,0.63,0,8.122,8.11853
0.72,1,0.64,1,8.064,8.06113
